Application,class,Number_Api_Calls,Class_Size,Issue_Score
AnkiDroid,CompatV12,1,2,1.8114219114219114
AnkiDroid,AnkiStatsTaskHandler,35,9,4.747263488681028
AnkiDroid,TagsDialog,70,16,16.228390493817898
AnkiDroid,CardStats,9,2,0.0182648401826484
AnkiDroid,Decks,27,43,6.407279360558954
AnkiDroid,FuriganaFilters,16,6,6.737691271919861
AnkiDroid,Collection,37,61,28.964731073987828
AnkiDroid,CustomExceptionHandler,29,8,1.3758059364575894
AnkiDroid,StudyOptionsFragment,78,46,109.76233759056112
AnkiDroid,AnkiFont,17,8,4.195769489366343
AnkiDroid,Whiteboard,16,10,0.1542649257525217
AnkiDroid,ReviewerExtRegistry,1,3,0.003430531732418525
AnkiDroid,BasicAudioFieldController,6,3,0.028283097611418763
AnkiDroid,AnkiDroidWidgetMedium,25,14,1.0582900601749199
AnkiDroid,AbstractCardFilter,3,2,0.007996741778080626
AnkiDroid,HttpFetcher,12,4,1.840823970037453
AnkiDroid,Anki2Importer,33,20,10.874097884757067
AnkiDroid,ImportDialog,21,7,1.4324704508974169
AnkiDroid,StudyOptionsActivity,19,17,14.383312507431699
AnkiDroid,ChartBuilder,12,15,10.024721066294353
AnkiDroid,SyncErrorDialog,26,10,6.07482209936572
AnkiDroid,HebrewFixFilter,5,7,5.120744537804495
AnkiDroid,IntentHandler,22,8,25.234423543004873
AnkiDroid,DeckOptions,70,40,16.0774994769937
AnkiDroid,HintFilter,5,3,0.816080064456836
AnkiDroid,LanguageListerBeolingus,1,1,0.5
AnkiDroid,MediaSyncer,17,3,3.0009355226761176
AnkiDroid,CardBrowser,131,54,104.04797114100572
AnkiDroid,MyAccount,48,19,12.24294405816741
AnkiDroid,CompatV9,3,4,1.1777895060913923
Conversations,Jid,7,13,6.917536124117568
Conversations,CryptoHelper,19,14,8.002589797548547
Conversations,AxolotlService,72,56,1.2830882352941175
Conversations,MessageArchiveService,16,25,2.1103136629452424
Conversations,JingleInbandTransport,15,10,5.641161206700263
Conversations,Roster,5,8,0.9172674424341429
Conversations,AbstractEntity,2,2,0.033742278221480376
Conversations,XmppActivity,112,60,14.545785544861383
Conversations,Account,18,31,2.732125157789592
Conversations,EditAccountActivity,72,30,24.917412040370994
Conversations,SQLiteAxolotlStore,10,29,0.046955624355005166
Conversations,Conversation,20,56,9.232567420352034
Conversations,JingleConnection,49,57,13.10755712032519
Conversations,ListItemAdapter,23,8,3.4084991522001373
Conversations,FileBackend,44,27,12.141894912470779
Conversations,ExceptionHandler,11,2,0.009645892679311702
Conversations,Tag,7,10,1.1872416380910846
Conversations,ExceptionHelper,25,4,0.10657242240238944
Conversations,KnownHostsAdapter,10,3,3.8218429133366962
Conversations,PhoneHelper,19,5,1.2748354829988033
Conversations,EnablePacket,1,1,0.342979226012645
Conversations,ManageAccountActivity,26,28,15.06710510701538
Conversations,PgpEngine,41,10,3.7493088525243143
Conversations,AbstractGenerator,15,7,2.474161212554481
Conversations,ConferenceDetailsActivity,65,35,15.006154877362116
Conversations,XmppConnection,103,67,47.080572668238645
Conversations,DigestMd5,10,3,1.1212833572765661
Conversations,JingleTransport,1,1,2.0865689696023884
Conversations,ContactDetailsActivity,55,18,7.946436718859571
Conversations,ShareWithActivity,22,15,9.774315783925587
Conversations,Xmlns,1,1,0.1661129568106312
Conversations,ResumePacket,2,1,0.3318384060482957
Conversations,Contact,16,33,12.522829818234998
Conversations,AbstractConnectionManager,20,5,0.1
Conversations,JingleSocks5Transport,41,8,1.668207828412214
Conversations,MessageAdapter,57,24,21.814911391514926
Conversations,Tokenizer,10,5,1.021505376344086
Conversations,MessagePacket,3,8,2.590662745423379
Conversations,RequestPacket,1,1,0.009645892679311702
Conversations,TimePreference,11,10,0.857142857142857
Conversations,PresenceParser,4,4,2.919505499553135
Conversations,Message,19,31,15.798793339269286
Conversations,AckPacket,2,1,0.3318384060482957
Conversations,ConversationFragment,95,64,49.89869866469836
Conversations,EditMessage,7,4,0.14835164835164832
