Application,class,Number_Api_Calls,Class_Size,Issue_Score
AnkiDroid,TagsDialog,70,16,16.228390493817898
AnkiDroid,Kana,0,0,0.0027155465037338763
AnkiDroid,CardStats,9,2,0.0182648401826484
AnkiDroid,ProductionCrashReportingTree,0,0,0.5080336793645746
AnkiDroid,OverviewStatisticsFragment,0,0,0.18366792745611482
AnkiDroid,Furigana,0,0,0.0027155465037338763
AnkiDroid,FuriganaFilters,16,6,6.737691271919861
AnkiDroid,MyDbErrorHandler,0,0,1.673317578768256
AnkiDroid,CustomExceptionHandler,29,8,1.3758059364575894
AnkiDroid,IField,2,0,0
AnkiDroid,Meaning,1,1,0
AnkiDroid,AbstractChart,0,0,0.213111169421849
AnkiDroid,FlashCardsContract,0,0,3.0767497084271342
AnkiDroid,Result,1,1,0
AnkiDroid,PieSegment,0,0,0.0045662100456621
AnkiDroid,PickStringDialogFragment,3,2,0
AnkiDroid,DiffAction,0,0,0.0027155465037338763
AnkiDroid,ImageSearchResponse,1,1,0
AnkiDroid,PieMapper,0,0,0.06101070565212386
AnkiDroid,AnkiDroidWidgetMedium,25,14,1.0582900601749199
AnkiDroid,AbstractCardFilter,3,2,0.007996741778080626
AnkiDroid,GraphicalView,0,0,0.1019103830736349
AnkiDroid,Model,0,0,0.04392212725546059
AnkiDroid,SettingsFragment,0,0,0.31095584667637066
AnkiDroid,LaTeXFilter,0,0,0.8501066245132591
AnkiDroid,StudyOptionsActivity,19,17,14.383312507431699
AnkiDroid,ChartBuilder,12,15,10.024721066294353
AnkiDroid,SyncErrorDialog,26,10,6.07482209936572
AnkiDroid,HebrewFixFilter,5,7,5.120744537804495
AnkiDroid,StorageAccessException,1,1,0
AnkiDroid,XGrid,0,0,0.08695652173913043
AnkiDroid,HintFilter,5,3,0.816080064456836
AnkiDroid,Animation3D,0,0,0.08
AnkiDroid,Phrase,1,1,0
AnkiDroid,MediaSyncer,17,3,3.0009355226761176
AnkiDroid,CardBrowser,131,54,104.04797114100572
AnkiDroid,ProgressCallback,0,0,0.09530813909632646
AnkiDroid,CardBrowserMySearchesDialog,0,0,0.530952380952381
AnkiDroid,AnkiDroidApp,37,37,36.125357377881215
AnkiDroid,MethodLogger,6,3,0.13554587387151137
AnkiDroid,CardTemplateEditor,41,30,5.324526859715042
AnkiDroid,DeckPickerExportCompleteDialog,8,7,0.3478024180161471
AnkiDroid,MockPronounciationPageFetcher,1,1,0
AnkiDroid,IMultimediaEditableNote,2,0,0
AnkiDroid,BuildConfig,1,1,0
AnkiDroid,BasicImageFieldController,38,10,4.173528839506801
AnkiDroid,SearchState,0,0,0.06938221317040054
AnkiDroid,ContentProviderTest,0,0,2.547449171120141
AnkiDroid,AnkiDb,23,17,20.30756067418711
AnkiDroid,SizeControlledListAdapter,0,0,0.535611961679649
AnkiDroid,CardsQuery,0,0,0.0045662100456621
AnkiDroid,IFieldController,1,0,0
AnkiDroid,DatabaseErrorDialog,45,10,6.692419510994425
AnkiDroid,PlotSheet,0,0,0.690121820038575
AnkiDroid,Sound,32,21,48.070376407895075
AnkiDroid,DisplayPairAdapter,0,0,0.10526315789473684
AnkiDroid,BackupManager,36,12,5.44667513901204
AnkiDroid,HttpUtility,4,2,0.09330182420317906
AnkiDroid,RemoteServer,14,11,3.017900134539083
AnkiDroid,"BaseAsyncTask<Params,",0,0,2.0
AnkiDroid,Utils,73,53,10.398677159059591
AnkiDroid,WhiteboardListener,2,0,0
AnkiDroid,DefaultRenderer,0,0,0.213111169421849
AnkiDroid,BasicControllerFactory,3,4,0.003430531732418525
AnkiDroid,TaskData,0,0,0.3782340948667624
AnkiDroid,SharedDeckDownload,8,8,0.013157894736842105
AnkiDroid,LanguageUtil,5,2,4.250800466007148
AnkiDroid,MockNoteFactory,1,2,0
AnkiDroid,CustomTabsHelper,0,0,0.5
AnkiDroid,CustomTabActivityHelper,0,0,0.25
AnkiDroid,ResponseData,1,1,0
AnkiDroid,Statistics,51,17,19.729004636140758
AnkiDroid,ByDueComparator,0,0,0.0777155465037339
AnkiDroid,Preferences,58,24,49.61341061262965
AnkiDroid,DeckDueTreeNode,0,0,0.07378048780487804
AnkiDroid,ArabicUtilities,0,0,0.32143395058911045
AnkiDroid,CramDeckOptions,63,30,4.682332107209636
AnkiDroid,Editor,0,0,0.36141059564289296
AnkiDroid,Finder,36,32,12.460162814492596
AnkiDroid,CustomFontsReviewerExt,10,8,4.346323974591854
AnkiDroid,Sched,53,115,29.92950879521756
AnkiDroid,MetaDB,15,26,5.367334685738164
AnkiDroid,MockTranslationFetcher,1,1,0
AnkiDroid,LeechHook,0,0,0.14557268936087672
AnkiDroid,CollectionHelper,0,0,0.14285714285714285
AnkiDroid,DeckPickerContextMenu,6,4,4.984647530405097
AnkiDroid,Threads,12,8,0.00686106346483705
AnkiDroid,ExportDialog,12,5,3.3969047619047625
AnkiDroid,Tuc,1,1,0
AnkiDroid,UnknownHttpResponseException,2,2,0
AnkiDroid,AudioField,6,5,0.09791785654310439
AnkiDroid,Builder,0,0,0.7261955027682638
AnkiDroid,Kanji,0,0,0.0027155465037338763
AnkiDroid,CollectionLoader,10,8,1.91720047080492
AnkiDroid,WidgetStatus,12,8,5.505048090610323
AnkiDroid,Cursor,1,1,0
AnkiDroid,CustomDialogPreference,8,2,0.13378821497352172
AnkiDroid,AddContentApi,0,0,1.5909090909090908
AnkiDroid,StyledDialog,56,29,5.563468107132152
AnkiDroid,AnkiExporter,16,3,0
AnkiDroid,StyledProgressDialog,12,5,1.1400284806660412
AnkiDroid,BasicTextFieldController,42,17,1.0550421176403764
AnkiDroid,CardFilter,1,0,0
AnkiDroid,DialogHandler,6,3,5.548157335797786
AnkiDroid,CompatHelper,0,0,2.375864579864579
AnkiDroid,NoteEditor,139,76,34.68469988677997
AnkiDroid,SeekBarPreference,0,0,2.2931757765643486
AnkiDroid,JavaScriptInterface,0,0,1.0251131297256961
AnkiDroid,"IndexXYMap<K,",0,0,0.03963777291738613
AnkiDroid,AnkiActivity,21,38,28.395795524405763
AnkiDroid,PopupMenuWithIcons,8,1,0
AnkiDroid,Upgrade,3,2,0.003430531732418525
AnkiDroid,AbstractFlashcardViewer,174,105,192.53940771754296
AnkiDroid,DiffEngine,30,26,5.06663374370811
AnkiDroid,InputStream,0,0,0.0027155465037338763
AnkiDroid,IControllerFactory,1,0,0
AnkiDroid,Syncer,26,30,25.946564146593115
AnkiDroid,EditFieldActivity,20,17,1.4453956386609088
AnkiDroid,CardContentProvider,0,0,6.189002361016897
AnkiDroid,FieldEditText,5,5,0.37761882654288687
AnkiDroid,Shared,0,0,1.7860635187419491
AnkiDroid,SharedDeck,0,0,0.002770083102493075
AnkiDroid,ByNameComparator,0,0,0.0777155465037339
AnkiDroid,FilterFacade,5,2,0.015993483556161252
AnkiDroid,Exporter,1,1,0
AnkiDroid,Models,39,54,15.78701365423004
AnkiDroid,ReadText,28,12,24.57943004549089
AnkiDroid,UnsupportedSyncException,1,1,0
AnkiDroid,Collection,37,61,28.964731073987828
AnkiDroid,CardEditor,0,0,62.34464761783762
AnkiDroid,DeckTask,41,44,57.69895130111729
AnkiDroid,ConvUtils,4,2,0
AnkiDroid,EFieldType,1,4,0
AnkiDroid,RemoteMediaServer,15,7,2.7231831437029292
AnkiDroid,Data,0,0,0.021961063627730294
AnkiDroid,Response,1,1,0
AnkiDroid,Anki2Importer,33,20,10.874097884757067
AnkiDroid,OutputStream,0,0,0.0027155465037338763
AnkiDroid,SearchImageActivity,42,28,1.9838935574229688
AnkiDroid,BeolingusParser,3,3,0
AnkiDroid,BasicAudioFieldController,6,3,0.028283097611418763
AnkiDroid,XAxisHistoGram,0,0,0.028985507246376812
AnkiDroid,YAxisBarGraph,0,0,0.028985507246376812
AnkiDroid,R,18,1,0
AnkiDroid,SdCardReceiver,5,2,0.287719844343762
AnkiDroid,ExternalHookLoader,15,7,0
AnkiDroid,Mustache,0,0,2.0301085468922544
AnkiDroid,Field,0,0,0.1217919965704916
AnkiDroid,CancelCallback,0,0,0.6559903323464273
AnkiDroid,InfoStatsBuilder,6,5,0.9190010002750317
AnkiDroid,MultimediaCardEditorActivity,0,0,2.3884635484577608
AnkiDroid,RunTask,0,0,0.5829412961484878
AnkiDroid,CompatV4,0,0,0.6222222222222222
AnkiDroid,ReviewInfo,0,0,0.14375306019822187
AnkiDroid,CompatV7,16,11,5.11315419110312
AnkiDroid,NoteFactory,1,2,0.0045662100456621
AnkiDroid,Reviewer,25,17,112.81514098771186
AnkiDroid,AnkiPackageExporter,10,7,0.6666666666666666
AnkiDroid,CompatV8,3,4,2.794672152257895
AnkiDroid,CompatV9,3,4,1.1777895060913923
AnkiDroid,AnkiDroidWidgetSmall,18,8,2.5640896854737942
AnkiDroid,ImageField,6,5,0.09791785654310439
AnkiDroid,CardTemplateFragment,0,0,0.5176114081996435
AnkiDroid,Hint,0,0,0.007281756549395977
AnkiDroid,CompatV16,2,3,1.1770358868184954
AnkiDroid,CompatV15,3,3,0.48456621004566214
AnkiDroid,CompatV12,1,2,1.8114219114219114
AnkiDroid,CompatV10,0,0,0.7288461538461537
AnkiDroid,CompatV11,0,0,2.185703733548214
AnkiDroid,ReviewerExt,1,0,0
AnkiDroid,TaskOperations,3,2,0
AnkiDroid,APIVersionException,1,1,0
AnkiDroid,Decks,27,43,6.407279360558954
AnkiDroid,ProgressByteEntity,0,0,0.6139900563076555
AnkiDroid,TouchHandler,0,0,0.08510366038455926
AnkiDroid,XYMultipleSeriesDataset,0,0,0.213111169421849
AnkiDroid,StudyOptionsFragment,78,46,109.76233759056112
AnkiDroid,LanguageListerBase,8,5,0
AnkiDroid,XAxisBarGraph,0,0,0.028985507246376812
AnkiDroid,Compiler,0,0,0.08375409882474098
AnkiDroid,AnkiFont,17,8,4.195769489366343
AnkiDroid,Whiteboard,16,10,0.1542649257525217
AnkiDroid,ReliefDrawer,0,0,0.14492753623188406
AnkiDroid,FieldBase,1,1,0
AnkiDroid,ReviewerExtRegistry,1,3,0.003430531732418525
AnkiDroid,FunctionDrawer_y,0,0,0.08695652173913043
AnkiDroid,BasicHttpSyncer,0,0,1.3368200733626314
AnkiDroid,MediaTest,0,0,7.3727963972820465
AnkiDroid,Page,1,1,0
AnkiDroid,HttpFetcher,12,4,1.840823970037453
AnkiDroid,BroadcastMessages,0,0,2.0667841356276093
AnkiDroid,CompatV15NookHdOrHdPlus,1,2,0
AnkiDroid,ImportDialog,21,7,1.4324704508974169
AnkiDroid,ArabicReshaper{,0,0,0.14339434403898543
AnkiDroid,Hooks,10,5,0.27605599275279935
AnkiDroid,CompatV7Nook,0,1,0.003430531732418525
AnkiDroid,IntentHandler,22,8,25.234423543004873
AnkiDroid,DeckOptions,70,40,16.0774994769937
AnkiDroid,CardBrowserOrderDialog,0,0,1.0261971705270674
AnkiDroid,TaskListener,0,0,0.40271554650373387
AnkiDroid,LanguageListerBeolingus,1,1,0.5
AnkiDroid,TemplatePagerAdapter,0,0,0.10597402597402597
AnkiDroid,MyAccount,48,19,12.24294405816741
Conversations,AuthenticationException,0,0,0.05263157894736842
Conversations,Jid,7,13,6.917536124117568
Conversations,ConferenceInvite,0,0,0.1
Conversations,CryptoHelper,19,14,8.002589797548547
Conversations,StartConversation,0,0,1.3197860962566845
Conversations,OnJinglePacketReceived,1,0,0
Conversations,EditAccount,0,0,1.1565561636468247
Conversations,HttpConnection,0,0,5.404132417290305
Conversations,AxolotlService,72,56,1.2830882352941175
Conversations,MessageArchiveService,16,25,2.1103136629452424
Conversations,BuildConfig,1,1,0
Conversations,JingleConnection,49,57,13.10755712032519
Conversations,Roster,5,8,0.9172674424341429
Conversations,OtrService,15,18,0
Conversations,Reason,0,1,0.009645892679311702
Conversations,OnFileTransmissionStatusChanged,1,0,0
Conversations,ConversationFragment,95,64,49.89869866469836
Conversations,XmppActivity,112,60,14.545785544861383
Conversations,Account,18,31,2.732125157789592
Conversations,EditAccountActivity,72,30,24.917412040370994
Conversations,Transferable,2,0,0
Conversations,TransferablePlaceholder,1,1,0
Conversations,Subscription,0,0,0.1428183688564952
Conversations,SQLiteAxolotlStore,10,29,0.046955624355005166
Conversations,Conversation,20,56,9.232567420352034
Conversations,OnBindListener,1,0,0
Conversations,Lastseen,0,0,0.7849432399828861
Conversations,JingleInbandTransport,15,10,5.641161206700263
Conversations,MyListFragment,0,0,0.1114990371269183
Conversations,PRNGFixes,36,14,0.009645892679311702
Conversations,FileBackend,44,27,12.141894912470779
Conversations,InvalidStateException,0,0,0.05263157894736842
Conversations,ExceptionHandler,11,2,0.009645892679311702
Conversations,PacketReceived,1,0,0
Conversations,KeyPair,0,0,0.4
Conversations,Tag,7,10,1.1872416380910846
Conversations,ListItem,3,1,0
Conversations,PgpDecryptionService,14,17,0
Conversations,InvalidJidException,1,1,0
Conversations,OpenPgpException,0,0,0.017857142857142856
Conversations,ExceptionHelper,25,4,0.10657242240238944
Conversations,ExportLogsService,22,10,0
Conversations,KnownHostsAdapter,10,3,3.8218429133366962
Conversations,PhoneHelper,19,5,1.2748354829988033
Conversations,Smp,0,0,0.024096385542168676
Conversations,EnablePacket,1,1,0.342979226012645
Conversations,PresenceGenerator,0,8,2.1286268878738523
Conversations,ManageAccountActivity,26,28,15.06710510701538
Conversations,PgpEngine,41,10,3.7493088525243143
Conversations,OnStatusChanged,1,0,0
Conversations,AbstractGenerator,15,7,2.474161212554481
Conversations,ContactsActivity,0,0,4.25756479312593
Conversations,ConferenceDetailsActivity,65,35,15.006154877362116
Conversations,XmppConnection,103,67,47.080572668238645
Conversations,CryptoFailedException,1,1,0
Conversations,SaslMechanism,4,4,0.10768436929427641
Conversations,JingleTransport,1,1,2.0865689696023884
Conversations,External,2,2,0
Conversations,ImageProvider,0,0,0.39460479358988565
Conversations,ContactDetailsActivity,55,18,7.946436718859571
Conversations,ShareWithActivity,22,15,9.774315783925587
Conversations,MucDetailsActivity,0,0,0.7620310482432904
Conversations,Xmlns,1,1,0.1661129568106312
Conversations,OnMessagePacketReceived,1,0,0
Conversations,ExportLogsPreference,3,2,0
Conversations,ResumePacket,2,1,0.3318384060482957
Conversations,XmppConnectionBinder,0,0,0.19085405496524618
Conversations,Contact,16,33,12.522829818234998
Conversations,AbstractConnectionManager,20,5,0.1
Conversations,JingleSocks5Transport,41,8,1.668207828412214
Conversations,BlocklistActivity,14,7,0
Conversations,AbstractStanza,0,8,0.8705645540316989
Conversations,MessageAdapter,57,24,21.814911391514926
Conversations,Tokenizer,10,5,1.021505376344086
Conversations,MessagePacket,3,8,2.590662745423379
Conversations,DatabaseBackend,30,60,8.254703524399632
Conversations,TimePreference,11,10,0.857142857142857
Conversations,BlockContactDialog,7,3,0
Conversations,Features,0,0,0.2551526569146312
Conversations,PresenceParser,4,4,2.919505499553135
Conversations,Query,0,0,0.024096385542168676
Conversations,Message,19,31,15.798793339269286
Conversations,UserInputRequiredException,0,0,0.017857142857142856
Conversations,MimeUtils,14,9,2.0
Conversations,Validator,0,0,2.0510311453282117
Conversations,AbstractEntity,2,2,0.033742278221480376
Conversations,EditMessage,7,4,0.14835164835164832
Conversations,OnTransportConnected,1,0,0
Conversations,AbstractParser,9,5,1.7531533820852394
Conversations,IqGenerator,11,26,2.166125840921116
Conversations,Config,3,1,3.1630926015133176
Conversations,DigestMd5,10,3,1.1212833572765661
Conversations,ChooseContactActivity,30,9,2.329439280284998
Conversations,ScramSha1,19,9,3.9254901960784325
Conversations,ZLibInputStream,0,0,0.009645892679311702
Conversations,ParcelFileDescriptorUtil,0,0,1.0
Conversations,HttpConnectionManager,10,6,0.045454545454545456
Conversations,OnContactStatusChanged,1,0,0
Conversations,PresencePacket,0,1,0
Conversations,Options,0,0,0.21435143349300806
Conversations,User,0,0,0.2064113194502195
Conversations,OnUpdateBlocklist,2,4,0
Conversations,Data,4,9,0.07228915662650602
Conversations,Blockable,1,0,0
Conversations,XmppAxolotlSession,15,11,0.07636738906088751
Conversations,OnMessageAcknowledged,1,0,0
Conversations,Plain,4,2,0.07827260458839405
Conversations,MessageGenerator,6,16,6.253218045740694
Conversations,OnKeyStatusUpdated,1,0,0
Conversations,Switch,3,2,0
Conversations,R,17,1,0
Conversations,AvatarService,16,5,5.739669872953714
Conversations,JingleConnectionManager,13,9,2.5300685271331838
Conversations,OnPhoneContactsLoadedListener,1,0,0
Conversations,UiCallback,1,0,0
Conversations,DNSHelper,24,8,4.5046871646659135
